SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-09-01T17:33:12+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,1479,620,460,373,482,0.117188,0.972656,0.066406,-1.120000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.033,
,,1480,640,459,375,481,0.117188,0.972656,0.066406,-1.120000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.063,
,,1481,660,458,375,481,0.117188,0.972656,0.066406,-1.120000,-3.360000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.094,
,,1482,680,459,373,481,0.093750,0.972656,0.062500,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.094,
,,1483,700,459,373,483,0.093750,0.972656,0.062500,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.137,
,,1484,720,459,375,482,0.093750,0.972656,0.062500,-2.240000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.152,
,,1485,740,458,375,481,0.050781,0.976562,0.046875,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.153,
,,1486,760,458,375,481,0.050781,0.976562,0.046875,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.182,
,,1487,780,459,373,482,0.050781,0.976562,0.046875,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.214,
,,1488,800,458,373,481,0.050781,0.976562,0.046875,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-68,17:33:13.215,
,,1489,820,458,372,481,0.097656,0.976562,0.039062,0.000000,-3.360000,-2.240000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.280,
,,1490,840,458,373,481,0.097656,0.976562,0.039062,0.000000,-3.360000,-2.240000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.281,
,,1491,860,458,373,481,0.097656,0.976562,0.039062,0.000000,-3.360000,-2.240000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.303,
,,1492,880,457,373,481,0.121094,0.968750,0.062500,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.333,
,,1493,900,458,373,481,0.121094,0.968750,0.062500,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.333,
,,1494,920,458,372,480,0.121094,0.968750,0.062500,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.363,
,,1495,940,459,370,482,0.121094,0.968750,0.062500,-1.120000,-3.360000,-3.360000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.397,
,,1496,960,458,370,481,0.101562,0.968750,0.074219,-2.240000,-2.240000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.397,
,,1497,980,458,370,480,0.101562,0.968750,0.074219,-2.240000,-2.240000,-4.480000,0.588672,-0.037376,-0.102784,,0,0,0,0,0,,,,,,,,,-69,17:33:13.427,
