SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-08C8
SerialNumber: C510F3DE76F7D46D
Location: 0x0000
Start: 2024-09-01T17:33:12+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,1683,620,390,434,449,-0.058594,0.976562,0.035156,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.026,
,,1684,640,391,434,449,-0.070312,0.976562,0.023438,0.000000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.055,
,,1685,660,392,433,450,-0.070312,0.976562,0.023438,0.000000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.085,
,,1686,680,392,433,450,-0.101562,0.976562,0.019531,1.120000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.136,
,,1687,700,391,433,449,-0.101562,0.976562,0.019531,1.120000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.146,
,,1688,720,392,433,451,-0.101562,0.976562,0.019531,1.120000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.147,
,,1689,740,392,434,449,-0.101562,0.976562,0.019531,1.120000,-3.360000,-4.480000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.173,
,,1690,760,390,435,451,-0.078125,0.976562,0.015625,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.205,
,,1691,780,392,435,452,-0.078125,0.976562,0.015625,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.206,
,,1692,800,391,434,451,-0.078125,0.976562,0.015625,-1.120000,-4.480000,-3.360000,0.158848,-0.177536,0.084096,,0,0,0,0,0,,,,,,,,,-77,17:33:13.234,
