Index,Stock Value,Weighted Average,Sigma,Portfolio Value
166,109.8,108.102,2.62088,103.226
167,109.24,108.136,2.61445,102.745
168,109.45,108.175,2.60855,102.926
169,109.64,108.219,2.60315,103.089
170,109.67,108.263,2.59776,103.115
171,109.08,108.287,2.5909,102.608
172,109.11,108.312,2.58411,102.633
173,108.8,108.327,2.57693,102.367
174,109.28,108.355,2.5705,102.779
175,109.61,108.393,2.56483,103.063
176,109.66,108.431,2.55925,103.106
177,110.135,108.482,2.55505,103.514
178,109.69,108.518,2.54941,103.132
179,109.63,108.552,2.54359,103.08
180,108.55,108.551,2.53655,102.152
181,108.61,108.553,2.52958,102.204
182,108.51,108.552,2.52266,102.118
183,108.12,108.539,2.51598,101.783
184,107.8,108.517,2.50973,101.508
185,107.995,108.501,2.50325,101.675
186,107.9,108.483,2.49691,101.593
187,108.98,108.498,2.49051,102.522
188,108.38,108.494,2.48393,102.006
189,108.72,108.501,2.47743,102.298
190,108.83,108.511,2.47105,102.393
191,108.75,108.518,2.46466,102.324
192,110.41,108.575,2.46181,103.751
193,108.92,108.585,2.45558,102.47
194,109.63,108.617,2.45035,103.08
195,109.645,108.648,2.44512,103.093
196,109.51,108.673,2.43964,102.977
197,109.355,108.694,2.43392,102.844
198,108.52,108.689,2.42783,102.126
199,108.28,108.676,2.42192,101.92
200,107.79,108.65,2.41664,101.499
201,107.77,108.623,2.4114,101.482
202,107.53,108.591,2.40661,101.275
203,107.78,108.566,2.40133,101.49
204,108.03,108.55,2.39574,101.705
205,108.475,108.548,2.38993,102.088
206,108.3,108.541,2.38421,101.937
207,108.255,108.532,2.37855,101.898
208,108.15,108.52,2.37299,101.808
209,108.79,108.529,2.3674,102.358
210,108.92,108.54,2.36193,102.47
211,108.96,108.553,2.35652,102.504
212,108.95,108.565,2.35113,102.496
213,109.83,108.603,2.34713,103.252
214,109.13,108.619,2.34192,102.651
215,109.34,108.64,2.33698,102.831
216,109.94,108.679,2.33316,103.347
217,108.88,108.685,2.32784,102.436
218,107.815,108.659,2.32322,101.52
219,107.66,108.629,2.31885,101.387
220,108.11,108.614,2.31385,101.774
221,107.96,108.594,2.30902,101.645
222,108.79,108.6,2.30388,102.358
223,108.685,108.602,2.29873,102.268
224,108.3,108.593,2.2937,101.937
225,108.64,108.595,2.28862,102.229
226,108.53,108.593,2.28358,102.135
227,109.405,108.617,2.27917,102.887
228,109.76,108.651,2.27536,103.192
229,110.305,108.701,2.27287,103.66
230,110.85,108.766,2.27209,104.129
231,110.59,108.82,2.27016,103.905
232,110.1,108.859,2.26675,103.484
233,110.35,108.903,2.26387,103.699
234,110,108.936,2.26012,103.398
235,109.65,108.958,2.25577,103.097
236,109.4,108.971,2.25118,102.883
237,109.45,108.985,2.24665,102.926
238,109.55,109.002,2.24223,103.011
239,109.57,109.019,2.23783,103.029
240,109.52,109.034,2.2334,102.986
241,108.28,109.012,2.22928,101.92
242,107.715,108.973,2.22615,101.434
243,108.17,108.949,2.22214,101.825
244,107.905,108.917,2.21855,101.598
245,108.09,108.893,2.21462,101.757
246,107.83,108.861,2.21111,101.533
247,107.52,108.82,2.20819,101.267
248,107,108.766,2.20659,100.82
249,107.745,108.735,2.20307,101.46
250,108.58,108.731,2.19869,102.178
251,108.87,108.735,2.19434,102.427
252,108.55,108.729,2.19003,102.152
253,108.95,108.736,2.18576,102.496
254,108.645,108.733,2.18147,102.234
255,108.69,108.732,2.17721,102.272
256,108.76,108.733,2.17297,102.333
257,110.06,108.772,2.17024,103.45
258,110.15,108.814,2.16763,103.527
259,110.135,108.853,2.16492,103.514
260,109.18,108.863,2.16086,102.693
261,108.57,108.854,2.1568,102.169
262,109.87,108.885,2.15355,103.286
263,109.97,108.917,2.15045,103.372
264,109.62,108.939,2.1468,103.072
265,109.45,108.954,2.14297,102.926
266,109.49,108.97,2.13919,102.96
267,109.66,108.991,2.13559,103.106
268,109.83,109.016,2.13219,103.252
269,109.864,109.041,2.12883,103.281
270,108.05,109.012,2.1257,101.722
271,107.875,108.977,2.12284,101.572
272,108.195,108.954,2.11945,101.847
273,108.6,108.943,2.11568,102.195
274,109.2,108.951,2.11188,102.711
275,109.28,108.961,2.10814,102.779
276,109.79,108.986,2.10489,103.218
277,109.97,109.015,2.10188,103.372
278,108.94,109.013,2.09811,102.487
279,108.64,109.002,2.09447,102.229
280,109.04,109.003,2.09074,102.573
281,109.87,109.029,2.08764,103.286
282,109.905,109.055,2.08456,103.317
283,110.31,109.093,2.08213,103.665
284,111.68,109.171,2.08379,104.842
285,110.635,109.215,2.08184,103.944
286,109.57,109.225,2.07831,103.029
287,108.89,109.215,2.07478,102.444
288,108.77,109.202,2.07135,102.341
289,108.72,109.187,2.06795,102.298
290,108.9,109.179,2.06446,102.453
291,109.29,109.182,2.06093,102.788
292,108.59,109.164,2.05769,102.186
293,108.61,109.148,2.05442,102.204
294,108.35,109.124,2.05143,101.98
295,108.239,109.097,2.04857,101.885
296,108.08,109.067,2.04592,101.748
297,107.92,109.032,2.0435,101.611
298,107.71,108.993,2.04143,101.43
299,107.88,108.959,2.03898,101.576
300,107.54,108.917,2.03713,101.284
301,107.79,108.883,2.03473,101.499
302,107.66,108.846,2.03251,101.387
303,107.55,108.807,2.03045,101.293
304,106.07,108.725,2.03281,100.021
305,106.07,108.645,2.03482,100.021
306,106.27,108.574,2.03575,100.196
307,106.23,108.504,2.03657,100.161
308,106.261,108.437,2.03704,100.188
309,106.52,108.379,2.03649,100.419
