SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-08-31T17:03:24+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,12867,600,444,653,385,-0.113281,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.208,
,,12868,620,443,653,385,-0.113281,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.235,
,,12869,640,444,653,385,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.236,
,,12870,660,444,652,386,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.265,
,,12871,680,444,653,384,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.295,
,,12872,700,444,654,385,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.296,
,,12873,720,443,653,385,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.326,
,,12874,740,443,653,385,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.358,
,,12875,760,441,654,384,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.359,
,,12876,780,444,654,385,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.386,
,,12877,800,443,654,385,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.415,
,,12878,820,443,653,384,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.416,
,,12879,840,444,653,384,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.446,
,,12880,860,445,653,384,-0.113281,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.477,
,,12881,880,443,652,386,-0.113281,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.478,
,,12882,900,442,654,384,-0.113281,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.509,
,,12883,920,444,654,384,-0.113281,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.535,
,,12884,940,443,652,385,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.536,
,,12885,960,443,654,385,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.566,
,,12886,980,442,653,384,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.595,
,,12887,1000,444,653,384,-0.101562,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.596,
,,12888,1020,442,653,385,-0.105469,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.626,
,,12889,1040,443,653,385,-0.105469,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.659,
,,12890,1060,443,654,384,-0.105469,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.659,
,,12891,1080,443,653,385,-0.105469,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.686,
,,12892,1100,442,654,385,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.715,
,,12893,1120,444,652,384,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.716,
,,12894,1140,443,653,384,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.746,
,,12895,1160,444,652,384,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.776,
,,12896,1180,443,653,383,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.776,
,,12897,1200,443,653,383,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.809,
,,12898,1220,443,652,385,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.836,
,,12899,1240,443,652,384,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.836,
,,12900,1260,444,651,386,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.866,
,,12901,1280,442,652,385,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.896,
,,12902,1300,444,652,384,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.896,
,,12903,1320,443,654,384,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.926,
,,12904,1340,442,653,384,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.953,
,,12905,1360,444,654,384,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.954,
,,12906,1380,443,653,386,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:25.986,
,,12907,1400,444,654,384,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.017,
,,12908,1420,444,654,384,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.017,
,,12909,1440,442,653,384,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.046,
,,12910,1460,443,652,384,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.076,
,,12911,1480,442,655,385,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.077,
,,12912,1500,444,654,385,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.110,
,,12913,1520,442,654,383,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.135,
,,12914,1540,442,652,384,-0.105469,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.136,
,,12915,1560,443,653,384,-0.101562,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.166,
,,12916,1580,443,653,385,-0.101562,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.195,
,,12917,1600,443,651,384,-0.101562,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.551296,,0,0,0,0,0,,,,,,,,,-60,17:03:26.196,
,,12918,1620,443,653,384,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.226,
,,12919,1640,442,652,384,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.261,
,,12920,1660,442,653,385,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.261,
,,12921,1680,443,653,384,-0.109375,0.972656,0.113281,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.286,
,,12922,1700,444,655,385,-0.113281,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.315,
,,12923,1720,443,652,384,-0.113281,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.316,
,,12924,1740,443,652,384,-0.113281,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.346,
,,12925,1760,443,654,385,-0.113281,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.377,
,,12926,1780,443,654,385,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.377,
,,12927,1800,443,654,386,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.410,
,,12928,1820,442,653,385,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.435,
,,12929,1840,442,653,386,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.436,
,,12930,1860,443,653,386,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.466,
,,12931,1880,443,653,386,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.495,
,,12932,1900,442,651,386,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.496,
,,12933,1920,441,653,386,-0.109375,0.972656,0.121094,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.527,
,,12934,1940,442,652,386,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.561,
,,12935,1960,442,654,387,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.562,
,,12936,1980,441,652,388,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.586,
,,12937,2000,443,652,387,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.615,
,,12938,2020,444,654,387,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.616,
,,12939,2040,442,654,387,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.646,
,,12940,2060,441,654,389,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.678,
,,12941,2080,443,653,388,-0.101562,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.678,
,,12942,2100,442,651,388,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.711,
,,12943,2120,443,653,389,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.735,
,,12944,2140,441,653,388,-0.113281,0.972656,0.117188,-2.240000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.736,
,,12945,2160,443,652,389,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.766,
,,12946,2180,443,653,389,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.795,
,,12947,2200,441,653,389,-0.113281,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:26.796,
